Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,raceID
0 days 01:06:43.064924812,20.53834586466165,54.517293233082704,1014.9105263157895,0.0,27.627819548872182,63.88721804511278,0.8872180451127819,1
0 days 01:20:41.397652173,10.621118012422361,69.4888198757764,1011.2527950310558,0.40993788819875776,16.827329192546582,163.0310559006211,0.4788819875776397,2
0 days 01:06:34.140097014,19.392537313432832,39.403731343283575,1004.8134328358207,0.0,38.950746268656715,140.17164179104478,0.8373134328358208,3
0 days 01:05:01.829538461,22.203076923076924,57.55307692307692,993.5746153846155,0.0,32.9223076923077,74.56923076923077,0.4576923076923077,4
0 days 01:07:25.500674074,20.760740740740744,61.42444444444444,1015.5711111111109,0.0,37.595555555555556,202.0814814814815,0.3162962962962963,5
0 days 01:25:35.173837209,24.17093023255814,55.80523255813954,1014.7308139534885,0.0,38.31453488372093,180.1860465116279,0.2837209302325581,6
0 days 01:02:17.983816,25.314399999999996,58.6304,960.6376,0.0,35.22879999999999,119.464,1.1656,7
0 days 00:59:02.094364406,26.692372881355933,33.246610169491525,938.4771186440677,0.0,52.35254237288136,138.05084745762713,0.36779661016949144,8
0 days 01:18:27.846365384,20.96602564102564,49.73076923076923,934.7211538461538,0.038461538461538464,33.18397435897436,132.56410256410257,0.34807692307692306,9
0 days 01:32:14.917864130,29.400000000000002,37.202173913043474,1007.246195652174,0.0,50.93152173913043,172.6086956521739,0.3179347826086957,10
0 days 01:35:31.712261780,27.226701570680625,68.61570680628273,977.6308900523562,0.3036649214659686,37.822513089005234,104.59162303664921,0.5675392670157068,11
0 days 02:24:46.445468965,13.012413793103448,96.43586206896552,970.2217241379312,0.8413793103448276,15.258620689655173,295.1413793103448,0.5113793103448276,12
0 days 01:19:10.746050632,21.504430379746836,54.10822784810126,1021.5056962025316,0.0,36.10569620253165,95.9367088607595,0.4424050632911392,13
0 days 01:14:07.741040268,28.885234899328864,33.275838926174494,994.4879194630873,0.0,43.52751677852349,188.64429530201343,0.3429530201342281,14
0 days 01:18:39.698563291,19.13860759493671,61.947468354430384,1023.131012658228,0.10126582278481013,21.75696202531645,142.9367088607595,0.2905063291139241,15
0 days 01:18:45.307235668,15.82547770700637,93.5248407643312,1006.4101910828023,0.0,18.18089171974522,111.12101910828025,0.486624203821656,16
0 days 01:20:41.551490683,28.148447204968942,61.192546583850934,992.1298136645962,0.0,37.47080745341616,106.71428571428571,0.8540372670807453,17
0 days 01:22:25.558231707,21.206707317073167,31.2109756097561,784.2134146341463,0.0,47.579268292682926,190.22560975609755,0.3664634146341464,18
0 days 01:18:48.617765822,23.1373417721519,60.10126582278481,926.9303797468355,0.0,51.56139240506329,175.36708860759492,0.3917721518987342,19
0 days 01:16:05.916631578,26.41513157894737,75.54013157894737,1012.3072368421053,0.019736842105263157,30.60328947368421,114.90789473684211,0.42302631578947364,20
0 days 01:36:32.780051813,28.816062176165804,76.20310880829015,1013.7974093264249,0.0,31.68497409326425,132.67875647668393,0.27150259067357513,21
0 days 01:18:04.114885350,24.519108280254777,59.05477707006369,1017.7108280254779,0.0,28.465605095541402,289.1910828025478,0.4146496815286624,22
