Constructor ID,Probability_of_Error,Avg_Pit_Stop_Time
haas,0.8737864077669903,25.62488461538462
toro_rosso,0.8928571428571429,0.0
sauber,0.8809523809523809,0.0
williams,0.9077669902912622,0.0
ferrari,0.9320388349514563,24.633622023809522
red_bull,0.8932038834951457,24.239751326259942
mercedes,0.9611650485436893,23.008192307692305
mclaren,0.8980582524271845,24.09455
force_india,0.8809523809523809,0.0
renault,0.864406779661017,0.0
alfa,0.9146341463414634,24.358592592592597
racing_point,0.881578947368421,0.0
alphatauri,0.8852459016393442,24.13864
alpine,0.875,25.779608695652172
aston_martin,0.9318181818181819,24.62806099137931
