Driver,Probability_of_Error
brendon_hartley,0.14285714285714285
grosjean,0.14035087719298245
max_verstappen,0.08641975308641975
ricciardo,0.0625
hulkenberg,0.11904761904761904
ocon,0.09302325581395349
sirotkin,0.047619047619047616
gasly,0.05825242718446602
leclerc,0.10679611650485436
stroll,0.08823529411764706
vandoorne,0.047619047619047616
sainz,0.08641975308641975
ericsson,0.09523809523809523
vettel,0.06930693069306931
alonso,0.06976744186046512
kevin_magnussen,0.07407407407407407
norris,0.06153846153846154
kvyat,0.07894736842105263
albon,0.09523809523809523
bottas,0.06153846153846154
giovinazzi,0.07894736842105263
raikkonen,0.04878048780487805
russell,0.07317073170731707
latifi,0.14754098360655737
mazepin,0.13636363636363635
perez,0.06818181818181818
hamilton,0.045454545454545456
mick_schumacher,0.06818181818181818
tsunoda,0.09090909090909091
zhou,0.09090909090909091
