Constructor,Probability_of_Error,Avg_Pit_Stop_Time
Haas F1 Team,1.4074578230022405,25.62488461538462
Toro Rosso,0.10714285714285714,0.0
Sauber,0.11904761904761904,0.0
Williams,0.09223300970873786,0.0
Ferrari,1.2996422662390197,24.633622023809522
Red Bull,1.3187836828178514,24.239751326259942
Mercedes,1.189244566840926,23.008192307692305
McLaren,1.3066692475728157,24.09455
Force India,0.11904761904761904,0.0
Renault,0.13559322033898305,0.0
Alfa Romeo,1.3032954832881665,24.358592592592597
Racing Point,0.11842105263157894,0.0
AlphaTauri,1.3216860983606555,24.13864
Alpine F1 Team,1.4139804347826086,25.779608695652172
Aston Martin,1.2995848677507837,24.62806099137931
